Thời gian,Nhiệt độ (°C),Độ ẩm (%),Sự kiện
2025-11-08 00:53:32,N/A,N/A,Khởi động chương trình đọc dữ liệu HTTP
2025-11-08 00:53:32,29.0,69.9375,Đọc dữ liệu thành công
2025-11-08 00:53:33,29.0,69.9375,Đọc dữ liệu thành công
2025-11-08 00:53:35,29.0,69.9375,Đọc dữ liệu thành công
2025-11-08 00:53:37,29.0,69.9375,Đọc dữ liệu thành công
2025-11-08 00:53:39,29.0,70.0625,Đọc dữ liệu thành công
2025-11-08 00:53:40,29.0,70.0625,Đọc dữ liệu thành công
2025-11-08 00:53:45,N/A,N/A,Dừng chương trình
2025-11-08 15:22:25,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:30,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:32,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:38,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:40,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:44,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:46,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:48,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:50,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:52,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:56,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:22:58,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:00,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:05,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:07,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:10,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:12,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:14,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:16,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:17,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:21,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:25,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:30,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:32,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:34,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:35,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:37,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:39,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:41,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:42,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:46,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:50,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:52,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:56,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:23:59,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:01,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:03,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:08,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:12,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:13,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:15,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:19,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:21,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:25,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:27,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:29,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:31,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:33,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:38,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:43,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:48,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:50,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:55,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:56,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:24:58,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:03,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:08,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:10,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:13,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:15,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:19,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:21,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:23,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:27,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:31,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:33,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:37,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:41,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:46,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:50,N/A,N/A,Chưa có dữ liệu
2025-11-08 15:25:52,N/A,N/A,Chưa có dữ liệu
