Thời gian,Nhiệt độ (°C),Độ ẩm (%),Sự kiện
2025-11-08 13:43:48,N/A,N/A,Khởi động chương trình đọc dữ liệu MQTT
2025-11-08 13:43:49,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:43:50,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:43:51,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:43:52,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:43:53,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:43:54,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:43:55,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:43:56,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:43:58,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:43:58,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:44:00,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:44:01,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:44:03,N/A,N/A,Ngắt kết nối MQTT thành công
2025-11-08 13:44:03,N/A,N/A,Dừng chương trình
2025-11-08 13:45:59,N/A,N/A,Khởi động chương trình đọc dữ liệu MQTT
2025-11-08 13:46:00,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:01,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:02,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:03,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:04,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:05,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:06,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:07,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:08,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:09,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:11,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:11,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:15,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:15,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:46:55,N/A,N/A,Khởi động chương trình đọc dữ liệu MQTT
2025-11-08 13:46:58,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:46:58,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:47:00,N/A,N/A,Kết nối MQTT thành công (code: 0)
2025-11-08 13:47:00,N/A,N/A,Mất kết nối MQTT (code: 7)
2025-11-08 13:47:03,N/A,N/A,Dừng chương trình
